#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
625,ZJ-0645,73,60,8,-,5
626,ZJ-0364,70,65,0,0,5
626,ZJ-0455,70,70,0,0,0
626,ZJ-0463,70,70,0,-,-
626,ZJ-0477,70,70,0,0,0
626,ZJ-0493,70,70,0,-,0
626,ZJ-0522,70,65,0,0,5
626,ZJ-0555,70,70,0,-,-
626,ZJ-0598,70,70,0,0,0
626,ZJ-0650,70,70,0,0,0
626,ZJ-0657,70,70,0,0,0
626,ZJ-0663,70,70,0,0,0
626,ZJ-0676,70,70,0,0,0
626,ZJ-0679,70,70,0,0,0
626,ZJ-0700,70,70,0,0,0
640,ZJ-0357,65,60,0,0,5
640,ZJ-0458,65,65,0,0,0
640,ZJ-0527,65,65,0,0,0
640,ZJ-0532,65,65,0,0,0
640,ZJ-0536,65,65,0,0,0
640,ZJ-0548,65,65,0,-,-
640,ZJ-0602,65,65,0,0,0
640,ZJ-0612,65,65,0,-,-
640,ZJ-0649,65,65,0,0,0
640,ZJ-0661,65,65,0,-,0
640,ZJ-0665,65,65,-,-,-
640,ZJ-0677,65,65,0,0,0
640,ZJ-0683,65,65,0,0,0
640,ZJ-0690,65,65,0,-,0
654,ZJ-0446,64,60,4,0,-
655,ZJ-0269,60,60,0,-,0
655,ZJ-0325,60,60,0,0,0
655,ZJ-0423,60,60,0,0,0
655,ZJ-0586,60,60,0,0,0
655,ZJ-0614,60,60,0,0,-
655,ZJ-0628,60,35,4,16,5
655,ZJ-0673,60,55,0,0,5
655,ZJ-0675,60,60,0,0,0
655,ZJ-0704,60,60,0,0,0
664,ZJ-0531,55,55,0,0,-
664,ZJ-0681,55,55,0,0,-
664,ZJ-0698,55,55,0,0,0
667,ZJ-0570,54,50,4,0,0
668,ZJ-0639,50,50,0,0,0
668,ZJ-0693,50,50,0,0,-
670,ZJ-0161,48,40,8,0,-
670,ZJ-0664,48,40,8,0,-
672,ZJ-0347,46,-,16,0,30
673,ZJ-0608,45,35,0,0,10
673,ZJ-0651,45,45,0,0,0
673,ZJ-0694,45,45,0,0,0
676,ZJ-0204,43,35,8,0,-
677,ZJ-0601,40,40,0,0,0
678,ZJ-0627,33,25,8,0,0
679,ZJ-0394,30,30,0,-,0
679,ZJ-0678,30,30,0,0,0
679,ZJ-0697,30,30,0,0,0
682,ZJ-0582,25,25,0,-,-
682,ZJ-0607,25,25,0,0,0
684,ZJ-0475,20,20,0,0,0
684,ZJ-0605,20,20,0,0,0
684,ZJ-0643,20,20,0,0,0
684,ZJ-0662,20,0,20,0,0
