#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
520,SH-0225,43,35,8,0,-
521,SH-0253,42,30,12,0,0
522,SH-0290,41,25,8,8,0
523,SH-0179,28,0,20,8,0
523,SH-0289,28,20,8,0,-
523,SH-0383,28,0,20,8,0
526,SH-0319,25,25,0,0,0
527,SH-0125,12,0,12,0,-
528,SH-0296,0,0,0,0,0
528,SH-0348,0,0,0,0,0
528,SH-0449,0,0,0,0,0
528,SH-0520,0,0,0,0,0
528,SH-0523,0,0,0,0,0
