#,用户,总分数,#1 NOIP2025GFA,#2 NOIP2025GFB,#3 NOIP2025GFC,#4 NOIP2025GFD
418,SD-0527,108,100,8,0,0
418,SD-0577,108,100,8,0,0
418,SD-0578,108,100,8,0,0
418,SD-0658,108,100,8,0,0
418,SD-0687,108,100,8,0,0
418,SD-0696,108,100,8,0,-
418,SD-0715,108,100,8,0,-
418,SD-0786,108,100,8,0,0
418,SD-0799,108,100,0,8,0
418,SD-0813,108,100,8,-,-
418,SD-0829,108,100,8,0,-
447,SD-0294,107,75,0,32,0
447,SD-0300,107,95,12,0,0
447,SD-0315,107,95,12,0,-
447,SD-0353,107,95,0,12,0
447,SD-0406,107,95,12,0,0
447,SD-0426,107,95,12,0,-
447,SD-0675,107,95,12,0,-
454,SD-0178,106,90,4,12,0
455,SD-0184,105,95,0,0,10
455,SD-0228,105,85,20,0,-
455,SD-0242,105,80,20,-,5
455,SD-0447,105,100,-,-,5
455,SD-0500,105,100,0,0,5
455,SD-0699,105,100,0,0,5
455,SD-0705,105,100,0,0,5
455,SD-0730,105,100,0,0,5
455,SD-0737,105,100,0,0,5
455,SD-0756,105,100,0,0,5
465,SD-0021,104,100,4,-,0
465,SD-0103,104,100,4,0,0
465,SD-0104,104,100,4,0,0
465,SD-0110,104,80,24,0,0
465,SD-0172,104,100,4,0,0
465,SD-0194,104,100,4,0,0
465,SD-0320,104,100,4,0,0
465,SD-0324,104,100,4,0,0
465,SD-0347,104,100,4,0,0
465,SD-0352,104,100,4,0,0
465,SD-0354,104,80,24,0,0
465,SD-0402,104,100,4,-,-
465,SD-0529,104,100,4,-,-
465,SD-0552,104,100,4,0,0
465,SD-0707,104,100,4,0,0
465,SD-0736,104,95,4,0,5
465,SD-0804,104,100,4,0,0
465,SD-0815,104,100,4,-,-
465,SD-0828,104,100,4,0,0
484,SD-0074,103,95,0,8,0
484,SD-0130,103,95,8,0,-
484,SD-0135,103,95,8,0,0
484,SD-0168,103,95,8,0,-
484,SD-0186,103,95,8,0,-
484,SD-0237,103,90,0,8,5
484,SD-0289,103,70,28,0,5
484,SD-0355,103,95,8,0,-
484,SD-0363,103,95,0,8,-
484,SD-0489,103,95,8,0,0
484,SD-0630,103,95,8,0,0
484,SD-0683,103,95,0,8,0
484,SD-0689,103,95,8,0,0
497,SD-0227,102,85,12,0,5
497,SD-0279,102,90,0,12,-
497,SD-0476,102,65,20,12,5
497,SD-0497,102,90,12,0,0
497,SD-0780,102,90,4,8,0
502,SD-0249,101,85,8,8,-
503,SD-0025,100,95,-,-,5
503,SD-0066,100,100,0,-,0
503,SD-0121,100,100,0,0,0
503,SD-0140,100,80,20,0,-
503,SD-0146,100,100,0,0,-
503,SD-0169,100,95,0,-,5
503,SD-0211,100,100,0,0,0
503,SD-0254,100,95,0,0,5
503,SD-0271,100,100,0,0,0
503,SD-0293,100,80,20,0,0
503,SD-0319,100,100,0,0,0
503,SD-0326,100,100,0,0,0
503,SD-0337,100,100,0,0,-
503,SD-0349,100,100,0,0,0
503,SD-0394,100,100,0,0,0
503,SD-0397,100,100,0,0,0
503,SD-0428,100,100,0,0,0
503,SD-0475,100,100,0,0,-
503,SD-0479,100,100,0,0,0
503,SD-0480,100,100,0,0,0
503,SD-0494,100,100,0,-,0
503,SD-0519,100,100,0,0,0
503,SD-0526,100,100,0,-,-
503,SD-0542,100,100,0,-,-
503,SD-0547,100,100,0,-,-
503,SD-0550,100,100,0,0,-
503,SD-0561,100,100,0,0,0
503,SD-0579,100,100,0,0,0
503,SD-0592,100,100,0,0,0
503,SD-0594,100,100,0,0,0
503,SD-0610,100,100,0,0,0
503,SD-0642,100,100,-,0,-
503,SD-0727,100,80,20,0,0
503,SD-0735,100,100,0,0,0
503,SD-0740,100,100,0,0,-
503,SD-0752,100,100,0,0,0
503,SD-0769,100,100,0,0,0
503,SD-0781,100,75,12,8,5
503,SD-0782,100,100,0,0,0
503,SD-0797,100,80,20,0,0
503,SD-0805,100,100,0,0,0
544,SD-0142,99,95,4,0,0
544,SD-0144,99,95,4,-,0
544,SD-0220,99,95,4,0,0
544,SD-0231,99,95,4,0,0
544,SD-0256,99,95,4,0,0
544,SD-0424,99,95,4,0,-
544,SD-0437,99,75,24,0,0
544,SD-0492,99,90,4,0,5
544,SD-0535,99,95,4,0,0
544,SD-0713,99,95,4,0,0
544,SD-0773,99,55,44,0,0
544,SD-0775,99,95,4,0,0
544,SD-0785,99,95,4,0,0
557,SD-0229,98,90,8,0,-
557,SD-0273,98,90,8,-,0
557,SD-0321,98,90,0,8,-
557,SD-0329,98,90,8,0,0
557,SD-0350,98,90,8,0,0
557,SD-0379,98,90,8,-,-
557,SD-0425,98,90,-,8,0
557,SD-0438,98,90,8,0,0
557,SD-0511,98,90,0,8,0
557,SD-0541,98,90,8,0,0
557,SD-0738,98,70,28,-,0
557,SD-0794,98,90,8,0,0
569,SD-0090,97,85,12,0,0
569,SD-0181,97,65,32,0,0
569,SD-0232,97,85,4,8,0
569,SD-0262,97,85,4,8,0
573,SD-0502,96,80,16,0,0
574,SD-0010,95,95,0,0,-
574,SD-0054,95,95,0,0,0
574,SD-0070,95,90,0,0,5
574,SD-0081,95,95,0,0,-
574,SD-0161,95,95,0,0,-
574,SD-0165,95,75,20,0,-
574,SD-0222,95,95,0,0,-
574,SD-0298,95,95,0,0,0
574,SD-0304,95,95,0,0,0
574,SD-0316,95,90,0,0,5
574,SD-0323,95,95,0,0,0
574,SD-0325,95,95,0,0,0
574,SD-0335,95,95,0,0,0
574,SD-0346,95,70,20,0,5
574,SD-0348,95,95,0,0,0
574,SD-0362,95,95,0,0,-
574,SD-0376,95,95,0,-,0
574,SD-0380,95,95,0,0,0
574,SD-0387,95,95,0,0,0
574,SD-0388,95,95,0,0,-
574,SD-0401,95,90,0,-,5
574,SD-0446,95,95,0,0,0
574,SD-0496,95,95,0,-,-
574,SD-0512,95,75,20,-,-
574,SD-0523,95,95,0,0,0
574,SD-0533,95,75,20,0,0
574,SD-0548,95,95,0,0,0
574,SD-0567,95,95,-,-,-
574,SD-0586,95,95,0,0,0
574,SD-0591,95,95,0,0,0
574,SD-0638,95,95,0,-,-
574,SD-0664,95,95,0,-,-
574,SD-0757,95,75,12,8,0
607,SD-0156,94,50,20,24,-
607,SD-0307,94,90,4,0,-
607,SD-0331,94,90,4,0,0
607,SD-0371,94,90,4,-,-
607,SD-0498,94,90,4,-,0
607,SD-0518,94,90,4,0,0
607,SD-0751,94,70,24,0,0
607,SD-0820,94,90,4,0,-
615,SD-0277,93,85,0,8,0
615,SD-0382,93,85,0,8,-
615,SD-0510,93,65,20,8,-
615,SD-0824,93,85,0,8,0
619,SD-0431,92,60,24,8,0
619,SD-0722,92,80,12,0,0
621,SD-0155,90,90,0,0,-
621,SD-0163,90,90,0,0,-
621,SD-0210,90,90,0,0,0
621,SD-0217,90,90,0,0,0
621,SD-0236,90,90,0,-,-
621,SD-0240,90,90,0,0,0
621,SD-0268,90,85,0,0,5
621,SD-0281,90,90,0,0,0
621,SD-0283,90,90,0,-,-
621,SD-0351,90,90,0,0,-
621,SD-0366,90,90,-,-,-
621,SD-0381,90,90,0,0,0
621,SD-0390,90,90,0,-,-
621,SD-0395,90,90,0,0,0
621,SD-0427,90,90,0,0,0
621,SD-0482,90,90,0,0,0
621,SD-0530,90,90,0,0,0
621,SD-0585,90,90,0,0,0
621,SD-0599,90,90,0,0,0
621,SD-0608,90,85,0,-,5
621,SD-0665,90,90,0,0,-
621,SD-0697,90,90,0,-,-
621,SD-0754,90,90,0,0,0
621,SD-0762,90,90,0,0,-
621,SD-0766,90,90,0,0,0
621,SD-0808,90,70,20,0,0
647,SD-0386,89,85,4,0,0
647,SD-0495,89,65,24,0,0
647,SD-0640,89,85,4,0,0
650,SD-0201,88,55,20,8,5
650,SD-0400,88,65,-,8,15
650,SD-0474,88,75,8,0,5
650,SD-0478,88,75,8,0,5
650,SD-0761,88,80,8,0,-
655,SD-0520,86,70,8,8,0
656,SD-0128,85,85,0,0,0
656,SD-0159,85,25,12,8,40
656,SD-0173,85,85,0,-,-
656,SD-0188,85,85,0,0,0
656,SD-0238,85,85,0,0,-
656,SD-0246,85,85,0,0,-
656,SD-0265,85,80,0,0,5
656,SD-0370,85,85,0,0,0
656,SD-0377,85,85,0,0,0
656,SD-0385,85,85,0,0,0
656,SD-0420,85,65,20,-,0
656,SD-0422,85,85,0,0,-
656,SD-0436,85,65,12,8,0
656,SD-0442,85,80,0,0,5
656,SD-0443,85,85,0,0,0
656,SD-0450,85,85,0,0,0
656,SD-0453,85,85,0,0,0
656,SD-0522,85,85,0,0,0
